author,numobstacles
Reference Generator,0
Reference Generator,0
Reference Generator,0
Sebastian Vogl,0
Sebastian Vogl,0
Sebastian Vogl,0
Sebastian Vogl,0
Sebastian Vogl,0
Sebastian Vogl,0
Harish Swaminathan Gopal,5
Harish Swaminathan Gopal,3
Harish Swaminathan Gopal,2
Harish Swaminathan Gopal,3
Harish Swaminathan Gopal,6
Harish Swaminathan Gopal,5
Harish Swaminathan Gopal,4
Sebastian Asen,0
Sebastian Asen,0
Sebastian Asen,0
Sebastian Asen,0
Sebastian Asen,0
Reference Generator,0
Reference Generator,0
Reference Generator,0
Sebastian Vogl,0
Sebastian Vogl,0
Sebastian Vogl,0
Sebastian Vogl,0
Sebastian Vogl,0
Sebastian Vogl,0
Harish Swaminathan Gopal,5
Harish Swaminathan Gopal,3
Harish Swaminathan Gopal,2
Harish Swaminathan Gopal,3
Harish Swaminathan Gopal,6
Harish Swaminathan Gopal,5
Harish Swaminathan Gopal,4
Sebastian Asen,0
Sebastian Asen,0
Sebastian Asen,0
Sebastian Asen,0
Sebastian Asen,0
Reference Generator,0
Reference Generator,0
Reference Generator,0
Reference Generator,0
Reference Generator,0
Reference Generator,0
Sebastian Vogl,0
Sebastian Vogl,0
Sebastian Vogl,0
Sebastian Vogl,0
Sebastian Vogl,0
Harish Swaminathan Gopal,5
Harish Swaminathan Gopal,2
Harish Swaminathan Gopal,2
Harish Swaminathan Gopal,3
Harish Swaminathan Gopal,7
Harish Swaminathan Gopal,4
Harish Swaminathan Gopal,4
Harish Swaminathan Gopal,4
Reference Generator,0
Reference Generator,0
Reference Generator,0
Sebastian Vogl,0
Sebastian Vogl,0
Sebastian Vogl,0
Sebastian Vogl,0
Sebastian Vogl,0
Harish Swaminathan Gopal,5
Harish Swaminathan Gopal,3
Harish Swaminathan Gopal,2
Harish Swaminathan Gopal,3
Harish Swaminathan Gopal,6
Harish Swaminathan Gopal,5
Harish Swaminathan Gopal,4
Harish Swaminathan Gopal,5
Harish Swaminathan Gopal,4
Harish Swaminathan Gopal,3
Sebastian Asen,0
Sebastian Asen,0
Sebastian Asen,0
Sebastian Asen,0
