round,numnodes,result,status,started,finished
1,1,SUCCEEDED,FINISHED,2019-10-22 14:38:11,2019-10-22 14:41:59
2,1,SUCCEEDED,FINISHED,2019-10-22 15:12:25,2019-10-22 15:17:20
2,1,SUCCEEDED,FINISHED,2019-10-22 15:11:10,2019-10-22 15:16:12
3,1,SUCCEEDED,FINISHED,2019-10-23 09:34:28,2019-10-23 09:42:53
3,1,UNKNOWN,TIMEOUT,2019-10-23 09:35:04,2019-10-23 09:45:05
3,1,UNKNOWN,TIMEOUT,2019-10-23 09:28:33,2019-10-23 09:28:33
3,1,UNKNOWN,TIMEOUT,2019-10-23 09:33:46,
3,1,SUCCEEDED,FINISHED,2019-10-23 09:35:45,2019-10-23 09:39:59
4,1,SUCCEEDED,FINISHED,2019-10-23 10:07:02,2019-10-23 10:11:23
4,1,UNKNOWN,TIMEOUT,2019-10-23 09:56:32,2019-10-23 10:07:16
4,1,SUCCEEDED,FINISHED,2019-10-23 10:06:00,2019-10-23 10:12:22
4,1,UNKNOWN,TIMEOUT,2019-10-23 10:05:06,2019-10-23 10:15:09
4,1,UNKNOWN,TIMEOUT,2019-10-23 09:48:01,2019-10-23 10:02:00
4,1,UNKNOWN,TIMEOUT,2019-10-23 09:53:43,2019-10-23 10:05:27
4,1,UNKNOWN,TIMEOUT,2019-10-23 09:53:12,2019-10-23 09:53:12
4,1,UNKNOWN,TIMEOUT,2019-10-23 10:01:36,2019-10-23 10:11:44
5,2,SUCCEEDED,FINISHED,2019-10-23 10:31:59,2019-10-23 10:35:46
6,2,SUCCEEDED,FINISHED,2019-10-23 10:48:32,2019-10-23 10:53:31
6,2,SUCCEEDED,FINISHED,2019-10-23 10:47:12,2019-10-23 10:52:22
7,2,SUCCEEDED,FINISHED,2019-10-24 09:21:00,2019-10-24 09:30:18
7,2,UNKNOWN,TIMEOUT,2019-10-24 09:26:10,2019-10-24 09:26:10
7,2,UNKNOWN,TIMEOUT,2019-10-24 09:31:26,2019-10-24 09:31:26
7,2,UNKNOWN,RUNNING,2019-10-24 09:32:02,
7,2,UNKNOWN,TIMEOUT,2019-10-24 09:20:24,2019-10-24 09:20:24
8,2,SUCCEEDED,FINISHED,2019-10-24 13:01:51,2019-10-24 13:06:20
8,2,SUCCEEDED,FINISHED,2019-10-24 13:14:25,2019-10-24 13:18:30
8,2,UNKNOWN,TIMEOUT,2019-10-24 13:08:18,2019-10-24 13:18:20
8,2,UNKNOWN,TIMEOUT,2019-10-24 13:00:38,2019-10-24 13:00:38
8,2,UNKNOWN,TIMEOUT,2019-10-24 13:07:45,2019-10-24 13:17:48
8,2,UNKNOWN,TIMEOUT,2019-10-24 13:13:29,2019-10-24 13:13:29
8,2,UNKNOWN,TIMEOUT,2019-10-24 13:07:08,2019-10-24 13:07:08
8,2,SUCCEEDED,FINISHED,2019-10-24 13:01:14,2019-10-24 13:06:02
9,3,SUCCEEDED,FINISHED,2019-10-25 12:13:47,2019-10-25 12:17:35
10,3,SUCCEEDED,FINISHED,2019-10-27 09:21:50,2019-10-27 09:25:40
10,3,SUCCEEDED,FINISHED,2019-10-27 09:21:20,2019-10-27 09:26:42
11,3,UNKNOWN,TIMEOUT,2019-10-29 11:06:24,2019-10-29 11:06:24
11,3,SUCCEEDED,FINISHED,2019-10-29 10:59:42,2019-10-29 11:05:01
11,3,UNKNOWN,TIMEOUT,2019-10-29 11:01:14,2019-10-29 11:01:14
11,3,UNKNOWN,TIMEOUT,2019-10-29 11:11:42,2019-10-29 11:11:42
11,3,SUCCEEDED,FINISHED,2019-10-29 11:01:59,2019-10-29 11:08:55
12,3,UNKNOWN,TIMEOUT,2019-10-29 12:07:31,2019-10-29 12:21:46
12,3,UNKNOWN,TIMEOUT,2019-10-29 12:06:51,2019-10-29 12:21:44
12,3,SUCCEEDED,FINISHED,2019-10-29 12:21:39,2019-10-29 12:26:00
12,3,UNKNOWN,TIMEOUT,2019-10-29 12:08:20,2019-10-29 12:21:44
12,3,UNKNOWN,TIMEOUT,2019-10-29 12:10:04,2019-10-29 12:21:46
12,3,UNKNOWN,TIMEOUT,2019-10-29 12:06:16,2019-10-29 12:06:16
12,3,UNKNOWN,TIMEOUT,2019-10-29 12:15:49,2019-10-29 12:15:54
12,3,UNKNOWN,TIMEOUT,2019-10-29 12:07:23,2019-10-29 12:21:43
