generatorauthor,aiauthor,travelleddistance
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.6940955378712153
Sebastian Vogl,Marco Landau,7.460745184020643
Reference Generator,Reference AI,466.86637880790664
Sebastian Asen,Vsevolod Tymofyeyev,12.691473828299971
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.989708224028857
Sebastian Asen,Vsevolod Tymofyeyev,13.242816254184081
Harish Swaminathan Gopal,Reference AI,0.0
Sebastian Asen,Reference AI,290.435678615418
Sebastian Asen,Marco Landau,9.644098066449013
Harish Swaminathan Gopal,Marco Landau,0.20923785213645688
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.6946194627698066
Sebastian Asen,Vsevolod Tymofyeyev,12.965150696346186
Reference Generator,Reference AI,0.0005026974800437798
Sebastian Asen,Vsevolod Tymofyeyev,12.967449048003827
Reference Generator,Vsevolod Tymofyeyev,10.678675851861986
Reference Generator,Marco Landau,12.874266343055684
Sebastian Asen,Reference AI,256.49195061467367
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.838773055461976
Sebastian Asen,Reference AI,285.4779079415275
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.6938844817274517
Sebastian Vogl,Marco Landau,6.447897088267063e-05
Sebastian Vogl,Marco Landau,7.4399369279139815
Sebastian Vogl,Marco Landau,8.794206013111523
Sebastian Asen,Reference AI,286.25219360055235
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,26.89627630870207
Sebastian Asen,Marco Landau,9.901650103280144
Sebastian Asen,Vsevolod Tymofyeyev,12.967078077393339
Reference Generator,Vsevolod Tymofyeyev,11.1010478574139
Harish Swaminathan Gopal,Marco Landau,0.20919521908684618
Reference Generator,Marco Landau,40.26568637568125
Sebastian Asen,Vsevolod Tymofyeyev,12.966241851792834
Harish Swaminathan Gopal,Marco Landau,0.2091591016833428
Sebastian Asen,Marco Landau,0.2716415410651696
Sebastian Vogl,Reference AI,6.494676986214423e-05
Sebastian Vogl,Marco Landau,7.4661813947135
Sebastian Vogl,Vsevolod Tymofyeyev,6.486511059069883e-05
Reference Generator,Marco Landau,42.085050672845696
Harish Swaminathan Gopal,Reference AI,146.89563208882578
Sebastian Vogl,Vsevolod Tymofyeyev,6.029954217531985e-05
Sebastian Asen,Marco Landau,25.032238881517404
Reference Generator,Marco Landau,57.79946631065037
Reference Generator,Marco Landau,84.6740066541314
Sebastian Vogl,Vsevolod Tymofyeyev,30.262221564614727
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.6940245993486376
Reference Generator,Vsevolod Tymofyeyev,15.872820840712585
Harish Swaminathan Gopal,Marco Landau,0.20892475687276935
Sebastian Vogl,Vsevolod Tymofyeyev,2.0001175568516665
Reference Generator,Vsevolod Tymofyeyev,11.18904818096602
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.694081518357803
Sebastian Vogl,Vsevolod Tymofyeyev,30.802632576096396
Sebastian Asen,Vsevolod Tymofyeyev,12.965705511556587
Harish Swaminathan Gopal,Reference AI,435.78337992311975
Sebastian Vogl,Vsevolod Tymofyeyev,2.0001081045339273
Harish Swaminathan Gopal,Marco Landau,0.2091758104824559
Sebastian Vogl,Marco Landau,1.972675169024341
Sebastian Asen,Vsevolod Tymofyeyev,27.51361446425124
Sebastian Vogl,Vsevolod Tymofyeyev,30.410571525124766
Sebastian Vogl,Vsevolod Tymofyeyev,2.468383200014513
Sebastian Asen,Vsevolod Tymofyeyev,13.243996105749511
Reference Generator,Vsevolod Tymofyeyev,32.33552191162714
Reference Generator,Vsevolod Tymofyeyev,9.469761635416624
Sebastian Vogl,Marco Landau,5.444839605034949e-05
Sebastian Vogl,Marco Landau,90.13548586846376
Sebastian Vogl,Reference AI,8.21519045744665e-05
Sebastian Asen,Reference AI,264.6145620365692
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.839065340034585
Sebastian Vogl,Vsevolod Tymofyeyev,2.0001034631776657
Sebastian Vogl,Reference AI,2.0001171016925454
Sebastian Asen,Vsevolod Tymofyeyev,13.243180886032706
Sebastian Vogl,Vsevolod Tymofyeyev,10.377900367185354
Harish Swaminathan Gopal,Marco Landau,9.38717478906659
Sebastian Asen,Marco Landau,9.886609760137398
Reference Generator,Vsevolod Tymofyeyev,11.603219521659064
Reference Generator,Vsevolod Tymofyeyev,22.19231866365371
Sebastian Asen,Vsevolod Tymofyeyev,12.966302852117874
Harish Swaminathan Gopal,Marco Landau,0.20925408913255186
Sebastian Asen,Reference AI,303.3987583505687
Sebastian Asen,Marco Landau,9.88415369154804
Reference Generator,Reference AI,457.14325106626154
Reference Generator,Marco Landau,85.72988618877686
Harish Swaminathan Gopal,Marco Landau,0.20881901845990838
Sebastian Vogl,Marco Landau,4.992524426804712
Sebastian Vogl,Vsevolod Tymofyeyev,9.057475659147691
Sebastian Asen,Vsevolod Tymofyeyev,27.534568513064457
Sebastian Vogl,Vsevolod Tymofyeyev,61.925414490840424
Sebastian Asen,Reference AI,280.71210663894846
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.8389655812207815
Sebastian Vogl,Vsevolod Tymofyeyev,9.05077064495057
Sebastian Vogl,Vsevolod Tymofyeyev,9.082981478985563
Sebastian Vogl,Reference AI,2.0001817796500467
Harish Swaminathan Gopal,Reference AI,319.74314187230425
Harish Swaminathan Gopal,Reference AI,437.36635808042945
Harish Swaminathan Gopal,Marco Landau,9.392385072016369
Sebastian Asen,Reference AI,288.76843109230026
Sebastian Vogl,Marco Landau,7.453251218874229
Sebastian Asen,Vsevolod Tymofyeyev,27.846058589507763
Reference Generator,Vsevolod Tymofyeyev,19.243598407540066
Harish Swaminathan Gopal,Marco Landau,0.2087519626062573
