round,finished,started,duration
8,2019-11-01 13:24:26,2019-11-01 13:14:38,0:09:48
10,2019-11-01 14:01:41,2019-11-01 13:49:48,0:11:53
9,2019-11-01 13:46:21,2019-11-01 13:35:29,0:10:52
7,2019-11-01 13:11:49,2019-11-01 13:02:54,0:08:55
1,2019-11-01 11:08:21,2019-11-01 11:04:52,0:03:29
5,2019-11-01 12:49:54,2019-11-01 12:42:55,0:06:59
4,2019-11-01 11:48:28,2019-11-01 11:42:22,0:06:06
2,2019-11-01 11:16:08,2019-11-01 11:11:48,0:04:20
6,2019-11-01 13:00:19,2019-11-01 12:52:21,0:07:58
3,2019-11-01 11:26:40,2019-11-01 11:21:29,0:05:11
