author,numsegments
Reference Generator,38
Reference Generator,53
Reference Generator,32
Sebastian Vogl,4
Sebastian Vogl,4
Sebastian Vogl,5
Sebastian Vogl,2
Sebastian Vogl,5
Sebastian Vogl,4
Sebastian Vogl,4
Sebastian Vogl,5
Sebastian Vogl,3
Sebastian Vogl,7
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Reference Generator,38
Reference Generator,53
Reference Generator,32
Sebastian Vogl,4
Sebastian Vogl,4
Sebastian Vogl,5
Sebastian Vogl,2
Sebastian Vogl,5
Sebastian Vogl,4
Sebastian Vogl,4
Sebastian Vogl,5
Sebastian Vogl,3
Sebastian Vogl,7
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Reference Generator,27
Reference Generator,31
Reference Generator,34
Reference Generator,45
Reference Generator,23
Reference Generator,66
Sebastian Vogl,4
Sebastian Vogl,4
Sebastian Vogl,5
Sebastian Vogl,4
Sebastian Vogl,4
Sebastian Vogl,4
Sebastian Vogl,4
Sebastian Vogl,5
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Reference Generator,38
Reference Generator,53
Reference Generator,32
Sebastian Vogl,4
Sebastian Vogl,4
Sebastian Vogl,5
Sebastian Vogl,2
Sebastian Vogl,5
Sebastian Vogl,4
Sebastian Vogl,4
Sebastian Vogl,5
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Sebastian Asen,79
Sebastian Asen,79
Reference Generator,38
Reference Generator,53
Reference Generator,32
Reference Generator,94
Reference Generator,80
Reference Generator,26
Sebastian Vogl,4
Sebastian Vogl,4
Sebastian Vogl,5
Sebastian Vogl,2
Sebastian Vogl,5
Sebastian Vogl,4
Sebastian Vogl,4
Sebastian Vogl,5
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Reference Generator,58
Reference Generator,20
Reference Generator,44
Reference Generator,23
Reference Generator,41
Reference Generator,53
Sebastian Vogl,6
Sebastian Vogl,6
Sebastian Vogl,3
Sebastian Vogl,6
Sebastian Vogl,4
Sebastian Vogl,6
Sebastian Vogl,5
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Reference Generator,38
Reference Generator,53
Reference Generator,32
Sebastian Vogl,4
Sebastian Vogl,4
Sebastian Vogl,5
Sebastian Vogl,2
Sebastian Vogl,5
Sebastian Vogl,4
Sebastian Vogl,4
Sebastian Vogl,5
Sebastian Vogl,3
Sebastian Vogl,7
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Reference Generator,27
Reference Generator,31
Reference Generator,34
Reference Generator,45
Reference Generator,23
Reference Generator,66
Sebastian Vogl,4
Sebastian Vogl,4
Sebastian Vogl,5
Sebastian Vogl,4
Sebastian Vogl,4
Sebastian Vogl,4
Sebastian Vogl,4
Sebastian Vogl,5
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Sebastian Asen,79
Reference Generator,26
Reference Generator,19
Reference Generator,35
Reference Generator,29
Reference Generator,34
Reference Generator,26
Sebastian Vogl,5
Sebastian Vogl,6
Sebastian Vogl,6
Sebastian Vogl,5
Sebastian Vogl,3
Sebastian Vogl,3
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
Harish Swaminathan Gopal,10
