author,roadlength
Reference Generator,260.20080592756733
Reference Generator,307.30974428213017
Reference Generator,318.82526254657887
Sebastian Vogl,60.0
Sebastian Vogl,60.0
Sebastian Vogl,67.81737101485709
Sebastian Vogl,20.0
Sebastian Vogl,90.0
Sebastian Vogl,102.02775637731995
Sebastian Vogl,102.02775637731995
Sebastian Vogl,67.81737101485709
Sebastian Vogl,17.0
Sebastian Vogl,82.0624390837628
Harish Swaminathan Gopal,270.10936648140654
Harish Swaminathan Gopal,356.3843799034281
Harish Swaminathan Gopal,317.16201156963217
Harish Swaminathan Gopal,312.9589749635747
Harish Swaminathan Gopal,254.5252029460473
Harish Swaminathan Gopal,353.4672615102149
Harish Swaminathan Gopal,265.734928784068
Sebastian Asen,322.8075943362212
Sebastian Asen,309.31736935997213
Sebastian Asen,368.7830179738417
Sebastian Asen,297.51229505156874
Sebastian Asen,312.61015370142525
Reference Generator,260.20080592756733
Reference Generator,307.30974428213017
Reference Generator,318.82526254657887
Sebastian Vogl,60.0
Sebastian Vogl,60.0
Sebastian Vogl,67.81737101485709
Sebastian Vogl,20.0
Sebastian Vogl,90.0
Sebastian Vogl,102.02775637731995
Sebastian Vogl,102.02775637731995
Sebastian Vogl,67.81737101485709
Sebastian Vogl,17.0
Sebastian Vogl,82.0624390837628
Harish Swaminathan Gopal,270.10936648140654
Harish Swaminathan Gopal,356.3843799034281
Harish Swaminathan Gopal,317.16201156963217
Harish Swaminathan Gopal,312.9589749635747
Harish Swaminathan Gopal,254.5252029460473
Harish Swaminathan Gopal,353.4672615102149
Harish Swaminathan Gopal,265.734928784068
Sebastian Asen,322.8075943362212
Sebastian Asen,309.31736935997213
Sebastian Asen,368.7830179738417
Sebastian Asen,297.51229505156874
Sebastian Asen,312.61015370142525
Reference Generator,307.0602100372631
Reference Generator,280.63904337319445
Reference Generator,288.9044063859322
Reference Generator,273.45096117927824
Reference Generator,207.8575410891641
Reference Generator,381.3876461077956
Sebastian Vogl,103.0
Sebastian Vogl,103.1049731745428
Sebastian Vogl,80.0
Sebastian Vogl,60.0
Sebastian Vogl,60.0
Sebastian Vogl,60.0
Sebastian Vogl,60.0
Sebastian Vogl,80.0
Harish Swaminathan Gopal,325.6666132141414
Harish Swaminathan Gopal,297.86979374011463
Harish Swaminathan Gopal,266.37942809137775
Harish Swaminathan Gopal,301.47149557626204
Harish Swaminathan Gopal,275.3898576140385
Harish Swaminathan Gopal,322.92152568468737
Harish Swaminathan Gopal,401.01886373932473
Harish Swaminathan Gopal,271.13482803298564
Reference Generator,260.20080592756733
Reference Generator,307.30974428213017
Reference Generator,318.82526254657887
Sebastian Vogl,60.0
Sebastian Vogl,60.0
Sebastian Vogl,67.81737101485709
Sebastian Vogl,20.0
Sebastian Vogl,90.0
Sebastian Vogl,102.02775637731995
Sebastian Vogl,102.02775637731995
Sebastian Vogl,67.81737101485709
Harish Swaminathan Gopal,270.10936648140654
Harish Swaminathan Gopal,356.3843799034281
Harish Swaminathan Gopal,317.16201156963217
Harish Swaminathan Gopal,312.9589749635747
Harish Swaminathan Gopal,254.5252029460473
Harish Swaminathan Gopal,353.4672615102149
Harish Swaminathan Gopal,265.734928784068
Harish Swaminathan Gopal,213.49114481032956
Harish Swaminathan Gopal,205.6509630710498
Harish Swaminathan Gopal,293.09444004890867
Sebastian Asen,320.2021447565138
Sebastian Asen,316.26167348050416
Sebastian Asen,321.4396228171087
Sebastian Asen,293.6247305993009
Sebastian Asen,337.41044892393
Sebastian Asen,305.56576455808494
Sebastian Asen,286.3798332267394
Harish Swaminathan Gopal,304.7806767579068
Harish Swaminathan Gopal,271.1308597757086
Sebastian Asen,295.7783914609637
Sebastian Asen,307.9864181156329
Reference Generator,260.20080592756733
Reference Generator,307.30974428213017
Reference Generator,318.82526254657887
Reference Generator,401.6371803526627
Reference Generator,368.0279314946778
Reference Generator,241.35723058574217
Sebastian Vogl,60.0
Sebastian Vogl,60.0
Sebastian Vogl,67.81737101485709
Sebastian Vogl,20.0
Sebastian Vogl,90.0
Sebastian Vogl,102.02775637731995
Sebastian Vogl,102.02775637731995
Sebastian Vogl,67.81737101485709
Harish Swaminathan Gopal,270.4827891720918
Harish Swaminathan Gopal,287.4468446936796
Harish Swaminathan Gopal,247.409709693293
Harish Swaminathan Gopal,285.49461494040304
Harish Swaminathan Gopal,350.18813715312194
Harish Swaminathan Gopal,328.0175285364111
Harish Swaminathan Gopal,313.31197966228
Harish Swaminathan Gopal,397.53113534758785
Harish Swaminathan Gopal,268.336815136875
Harish Swaminathan Gopal,311.5957704120218
Sebastian Asen,321.1956888310652
Sebastian Asen,331.3913009644432
Sebastian Asen,321.193869034086
Sebastian Asen,299.81887606694636
Sebastian Asen,313.1649059572868
Sebastian Asen,319.2658639653945
Sebastian Asen,349.5352830548387
Sebastian Asen,312.68285807279483
Sebastian Asen,293.90788963932727
Sebastian Asen,330.18588406455956
Reference Generator,255.1855981665405
Reference Generator,231.9354429148296
Reference Generator,232.98230821159757
Reference Generator,202.62321460532377
Reference Generator,356.51241323022924
Reference Generator,323.0127237336513
Sebastian Vogl,100.0
Sebastian Vogl,90.0
Sebastian Vogl,10.0
Sebastian Vogl,100.0
Sebastian Vogl,40.0
Sebastian Vogl,100.0
Sebastian Vogl,80.0
Harish Swaminathan Gopal,255.2207991178338
Harish Swaminathan Gopal,309.6161908007505
Harish Swaminathan Gopal,255.52802851148022
Harish Swaminathan Gopal,341.49890596913247
Harish Swaminathan Gopal,349.75581906522103
